sample_key,normalization_key,analysis_category,job_key,event_index,lepton_flavor,q_sel,pass_q_sel,O_lD,q_CPV,weight_8ab,ml_features_valid,w_orientation_status,idx_W_quark,idx_W_antiquark,top_side_fermion_E,top_side_fermion_pt,top_side_fermion_theta,top_side_fermion_phi,anti_top_side_fermion_E,anti_top_side_fermion_pt,anti_top_side_fermion_theta,anti_top_side_fermion_phi,w_assignment_likelihood_selected,final_selection_score,m_H,m_ttbar,down_jet_mass,O_lnu,q_CPV_wbjets_lepton,analysis_valid,invalid_target_features,lepton_E,lepton_pt,lepton_theta,lepton_phi,neutrino_E,neutrino_pt,neutrino_theta,neutrino_phi,wjet_quark_E,wjet_quark_pt,wjet_quark_theta,wjet_quark_phi,wjet_antiquark_E,wjet_antiquark_pt,wjet_antiquark_theta,wjet_antiquark_phi,top_b_E,top_b_pt,top_b_theta,top_b_phi,antitop_bbar_E,antitop_bbar_pt,antitop_bbar_theta,antitop_bbar_phi,lepton_charge
ttbb,physsim::ttbb::eL.pR,ttbb,physsim__ttbb__eL.pR__I01234_0_1,7,electron,0.963025152683258,True,-2.579033258389636,-0.0459161526751734,0.0708723298596691,True,L12_preferred,2,4,62.85087024872782,43.292296166598206,0.7635440619378332,-0.39470494436675463,69.04909242100942,27.20194127478777,0.4049268846903763,2.1843283140228813,0.6836456617782574,3.1569299697875977,143.2978973388672,338.58642660440546,5.524212481432318,0.7890895228804249,-0.41578244543633813,True,,69.04909242100942,27.20194127478777,0.4049268846903763,2.1843283140228813,53.84051449683301,53.80595401686864,1.5349646719662302,1.3952387911424564,139.247838071989,106.01849480430108,0.8677572681692528,0.2670288717055587,62.85087024872782,43.292296166598206,0.7635440619378332,-0.39470494436675463,147.8907527953767,138.08806187565884,1.2826443352409684,0.9355799304898664,104.52949127095098,104.22054491522441,1.5359198652899828,0.771038326917007,-1.0
ttbb,physsim::ttbb::eL.pR,ttbb,physsim__ttbb__eL.pR__I01234_0_1,45,muon,0.978725016117096,True,-1.188008666327402,-0.2111342124709429,0.0708723298596691,True,L21_preferred,5,2,90.04442141309713,78.53526213504915,2.0819421145849777,2.0342356179665733,54.060912485919516,46.36636850388205,2.039998907264996,-3.0609410228856118,0.29721627214256274,2.1619749069213867,130.66677856445312,360.7016528572664,14.839415611223739,2.975677367137086,-0.1328732822834931,True,,90.04442141309713,78.53526213504915,2.0819421145849777,2.0342356179665733,20.368236256447457,18.136001096288776,2.0433562415152204,-1.2732723220759272,54.060912485919516,46.36636850388205,2.039998907264996,-3.0609410228856118,121.7156977411826,96.8515714234955,2.2167894418117675,2.2250909311912963,143.83107062303,120.53825233460645,1.0681158294859434,2.432579925947894,45.91192630949355,43.22844772861476,1.870256720822332,0.529975389996352,1.0
ttbb,physsim::ttbb::eL.pR,ttbb,physsim__ttbb__eL.pR__I01234_0_1,59,electron,0.969788670539856,True,-0.7118040156979122,-0.1882353440242685,0.0708723298596691,True,L21_preferred,4,1,36.68703846462258,36.3135109610071,1.7135660366564442,0.5641248549816752,65.18405357203645,49.807888547696834,2.267785477421238,1.2759288706795873,0.20472240186610807,1.4271820783615112,115.50579071044922,321.25864502503225,5.431741799332389,-0.6624377657369704,-0.32309670580848643,True,,36.68703846462258,36.3135109610071,1.7135660366564442,0.5641248549816752,127.78963794619493,114.64496950425638,2.028344615782262,-0.09831291075529532,65.18405357203645,49.807888547696834,2.267785477421238,1.2759288706795873,119.76352845090662,116.37319492703159,1.5721251578001614,0.8997057089911658,107.57458779294915,44.51627256242983,2.7102814125719,0.6871622548449586,57.22440903882737,53.169910837047794,1.7234570734676453,-0.579152801934438,1.0
ttbb,physsim::ttbb::eL.pR,ttbb,physsim__ttbb__eL.pR__I01234_0_1,199,muon,0.9637950658798218,True,-2.0026036575833075,-0.0573938107473356,0.0708723298596691,True,L21_preferred,5,0,22.941758556545885,22.15521056173345,1.3082541441711528,2.803448874213088,55.804432808887306,32.39883386901583,0.6482047893158099,-1.4771327753831904,0.2416355203929615,3.008981943130493,160.79098510742188,328.5776348775965,15.313822514900853,2.33114545641443,-0.017424722215933164,True,,22.941758556545885,22.15521056173345,1.3082541441711528,2.803448874213088,137.11842542893365,15.529208499879447,0.11349750589951663,-1.148590976552068,55.804432808887306,32.39883386901583,0.6482047893158099,-1.4771327753831904,345.9195113545843,29.531970958143727,0.08559102593823636,0.543871620729873,30.582431891880727,27.38450242536292,1.7357384066355797,0.2794064860411909,50.523324450281144,44.04945659517798,1.072742664564602,1.0225410202774199,1.0
ttbb,physsim::ttbb::eL.pR,ttbb,physsim__ttbb__eL.pR__I01234_0_1,223,electron,0.958569347858429,True,1.108028234252549,0.1056145328278463,0.0708723298596691,True,L12_preferred,1,2,70.90623264528764,69.26618927964927,1.7371170983116904,2.829625231087586,61.720270355777274,61.66567056753893,1.5287913935032493,1.7215969968350366,0.26638149998516397,1.0893666744232178,106.1488037109375,373.23037633565,9.730497693968566,-0.1455267635917692,0.22450328779419992,True,,61.720270355777274,61.66567056753893,1.5287913935032493,1.7215969968350366,328.20167901532386,290.58181193932484,2.054290958744144,1.8671237604268058,129.8414260164676,99.08348089207018,2.2676637241810953,2.0628191013181705,70.90623264528764,69.26618927964927,1.7371170983116904,2.829625231087586,47.9910179807022,44.94774752627933,1.2848929332988637,0.6195942119642323,34.27487203499232,33.772655068495865,1.5793061584483679,0.5075646101783309,-1.0
ttbb,physsim::ttbb::eL.pR,ttbb,physsim__ttbb__eL.pR__I01234_0_1,240,electron,0.96709144115448,True,-0.4967372218008776,0.016066636209876,0.0708723298596691,True,L12_preferred,0,2,57.62707567613694,52.96078716262269,1.1656096553679212,2.204538996122149,128.82620868860218,103.26131102029636,2.108125187355156,2.7012762179230267,0.2364566515686848,3.488844156265259,121.48432159423828,427.24728372879895,46.348096652671124,3.0811569657805515,0.2783627779804565,True,,57.62707567613694,52.96078716262269,1.1656096553679212,2.204538996122149,53.595271688224535,35.29841445611506,2.422621802931508,-0.9974893452768857,128.82620868860218,103.26131102029636,2.108125187355156,2.7012762179230267,81.13685055565868,40.35490420891836,2.616444613864817,-1.7569532585432044,45.39494218107613,25.092728785655396,0.5907179989243606,0.824891507766301,72.16273799220005,68.55471479796438,1.3114140125297127,-0.22605416889312058,1.0
ttbb,physsim::ttbb::eL.pR,ttbb,physsim__ttbb__eL.pR__I01234_0_1,270,muon,0.9579323530197144,True,-0.0943659167919928,-0.089275908444119,0.0708723298596691,True,L21_preferred,4,0,76.3813948323156,65.87515876326084,2.101498706579898,-2.54217410165986,43.6184601905456,19.375590539178205,2.6150604322483035,-2.447808184867867,0.10223576446707294,2.2516164779663086,115.568603515625,417.88982899450275,20.39723537322396,-0.981393170507749,0.3706021761799052,True,,76.3813948323156,65.87515876326084,2.101498706579898,-2.54217410165986,180.64203866422855,128.02746932909253,2.3538881240364056,2.7596180350119774,43.6184601905456,19.375590539178205,2.6150604322483035,-2.447808184867867,87.64630240760286,50.485750561987224,0.6198940501445002,2.689789798966339,43.24447716330486,35.95492081637645,1.0007994771776072,-3.035015688711017,61.969757603833095,19.36072746527987,0.32433436668336185,0.8332990432677413,1.0
ttbb,physsim::ttbb::eL.pR,ttbb,physsim__ttbb__eL.pR__I01234_0_1,278,electron,0.9759293794631958,True,2.5001470451528096,0.0291418172844151,0.0708723298596691,True,L12_preferred,3,4,17.319417979109915,16.627589006897306,1.2873087240744747,-2.2724823758996715,62.43375041880087,57.657382855850464,1.5611496321986065,1.5105558861271047,0.24814884687003289,2.253613233566284,100.99885559082031,382.49315106818824,23.94347536215661,-3.1031050954859056,-0.09385644917119146,True,,17.319417979109915,16.627589006897306,1.2873087240744747,-2.2724823758996715,78.579983474137,78.0267614548948,1.6895274549571266,0.9075978357940093,62.43375041880087,57.657382855850464,1.5611496321986065,1.5105558861271047,53.33745670488654,29.96161211058729,0.6105414980949437,-0.5751735247348557,176.52354430034347,68.8701251868357,0.40351368645373725,1.0218138616459087,74.45143389885726,42.06106655596614,2.5227176074549735,0.5014618254949035,1.0
ttbb,physsim::ttbb::eL.pR,ttbb,physsim__ttbb__eL.pR__I01234_0_1,285,muon,0.9729559421539308,True,-0.7934559358579607,-0.1452169901280786,0.0708723298596691,True,L21_preferred,5,3,55.173956866971054,45.83026842564909,1.075293980229517,-2.7013207924008382,93.54434197074228,23.408817879255096,0.25293153496882315,-1.9078648565428777,0.10621924337597424,2.560474157333374,121.92134094238281,344.62475855772215,18.171113215476762,1.2625907037191668,-0.31556969168022775,True,,93.54434197074228,23.408817879255096,0.25293153496882315,-1.9078648565428777,107.14939179381386,96.88569228385843,1.1295294655530295,3.1127297469175415,15.241045891025845,8.514798964948112,0.7055050837118714,0.6355898482783611,55.173956866971054,45.83026842564909,1.075293980229517,-2.7013207924008382,257.40661638740784,113.07437032456339,0.45924826743296293,2.3112823387561496,78.04699545652623,70.80455643230003,1.302651448020668,2.016382556675656,-1.0
ttbb,physsim::ttbb::eL.pR,ttbb,physsim__ttbb__eL.pR__I01234_0_1,364,electron,0.9756157994270324,True,-1.1120901266571748,-0.1448802700064218,0.0708723298596691,True,L12_preferred,0,4,66.36500177512278,63.89551605937786,1.3318474250938341,-1.3537077996869613,11.821875419806862,10.915729822817966,1.1768837264939584,-0.24161767302978637,0.3250792375924805,1.2057024240493774,124.8462905883789,379.28794533512456,8.910838049022884,2.4129182915167835,-0.36257737336706897,True,,11.821875419806862,10.915729822817966,1.1768837264939584,-0.24161767302978637,147.75079635493617,147.29041349098364,1.4918336275430784,-2.6545359645465703,266.9357608482111,189.16188098157602,0.7884048604953716,-1.7122829331411096,66.36500177512278,63.89551605937786,1.3318474250938341,-1.3537077996869613,74.13545880068776,21.564560506571706,0.2972018974455676,2.9327109706852403,97.20026328193221,87.47113155209985,1.1351525956442814,-1.6031331132600586,-1.0
